Hoffman Reactions CI to NFkB,Rate,Geena Reactions CI to NFkB,Rate,Geena Reactions CI to Necroptosis ,Rate
TNFR + TTR >> C1_off ,100,CYLD + TRAF2 >> CYLD%TRAF2,1.00E-06,TRADD%RIP1(DB)%FADD%PC8 +FLIP >> TRADD%RIP1(DB)%FADD%PC8 %FLIP,7.27E-05
C1_off >> TNFR + TTR,0.1,CYLD%TRAF2 >> CYLD + TRAF2 ,0.001,TRADD%RIP1(DB)%FADD%PC8%FLIP >> TRADD%RIP1(DB)%FADD%PC8 +FLIP ,1.80E-02
C1 >> TTR + TNFR ,0.1,TNF%TNFR%TRADD%RIP1%TRAF2 + CIAP >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP ,1.00E+01,TRADD%RIP1(DB)%FADD%PC8%FLIP +RIP3 >> TRADD%RIP1(DB)%FADD%PC8%FLIP%RIP3,7.27E-05
C1_off >> C1,30,TNF%TNFR%TRADD%RIP(UB)%TRAF2%CIAP >> TNF%TNFR%TRADD%RIP1%TRAF2 + CIAP ,0.001,TRADD%RIP1(DB)%FADD%PC8%FLIP%RIP3 >> TRADD%RIP1(DB)%FADD%PC8%FLIP + RIP3 ,1.80E-02
C1 >> C1_off ,,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP + LUBAC >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC ,1.00E-06,TRADD%RIP1(DB)%FADD%PC8%FLIP%RIP3 >> TRADD + FADD + PC8 + FLIP + RIP1(DB)%RIP3 ,1.00E+00
C1 + A20 >> C1_off + A20 ,1000,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP + LUBAC ,0.001,RIP1(DB)%RIP3  >> RIP1(DB)%RIP3P,1.00E-02
C1 >> None ,0.023,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC + NEMO >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO ,,RIP1(DB)%RIP3P >> RIP1P%RIP3P,1.00E-03
C1_off >> None,0.023,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC + NEMO ,,RIP1P%RIP3P + MLKLI >> RIP1P%RIP3P%MLKLI,1.00E-03
TNF + C1 >> C1TNF ,1100,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO + TAK1 >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1,,RIP1P%RIP3P%MLKLI >> RIP1P%RIP3P + MLKLI,1.00E-06
C1TNF >> C1 + TNF ,0.1,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1 >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO + TAK1,,RIP1P%RIP3P%MLKLI >> RIP1P%RIP3P + MLKLP,1.00E-01
TNFRTNF + TTR >> C1TNF_off,100,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1 + IKKI >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1%IKKI,,MLKLP + MLKLI >> MLKLP%MLKLI ,1.00E-07
C1TNF_off >> TNFRTNF + TTR ,0.1,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1%IKKI >> TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1 + IKKI ,,MLKLP%MLKLI >> MLKLP + MLKLI ,4.00E-01
C1TNF >> TNFRTNF + TTR,0.1,TNF%TNFR%TRADD%RIP1(UB)%TRAF2%CIAP%LUBAC%NEMO%TAK1%IKKI >> TNF + TNFR + TRADD + RIP1(UB) + TRAF2 + CIAP + LUBAC + NEMO + TAK1 + IKKA ,,MLKLP%MLKLI >> MLKLP + MLKLP ,1.00E-02
C1TNF_off >> C1TNF ,30,,,,
C1TNF >> C1TNF_off,2,,,,
C1TNF + A20 >> C1TNF_off + A20 ,1000,,,,
C1TNF_off >> None ,0.023,,,,
C1TNF >> None ,0.023,,,,
C1TNF_off >> C1_off + TNF ,0.021,,,,
C1_off + TNF >> C1TNF_off ,1100,,,,
None >> A20t ,2.00E-06,,,,
None >> A20t ,0.4*NFkBn^3,,,,
A20t >> None ,0.035,,,,
None >> A20 ,.25*A20t,,,,
A20 >> None ,0.0029,,,,
