Timepoint,,,,,,,,,,,,,,,,,,,,,
4.3333,29.941,199990,6.2007,1.3099,0.34268,11.652,117.16,74.056,9888,8.2828,14720,5752.1,8.2828,99778,20.602,0.48321,0.0056565,0.0056565,0.081857,0.0019588,0.0085284
4.5,31.335,199990,7.0639,1.5593,0.40307,13.694,117.97,75.092,9879.9,8.2267,14731,5748.4,8.2267,99773,20.938,0.49689,0.0059185,0.0059185,0.081229,0.002076,0.0094472
4.6667,32.714,199990,7.9958,1.8416,0.47035,15.967,118.84,76.073,9871.5,8.1712,14741,5744.9,8.1712,99769,21.249,0.51026,0.0061739,0.0061739,0.080606,0.0021934,0.010415
4.8333,34.077,199990,8.9971,2.1593,0.54489,18.483,119.79,77.015,9862.9,8.1164,14750,5741.7,8.1164,99764,21.542,0.52333,0.0064226,0.0064226,0.079987,0.0023109,0.011432
5,35.422,199990,10.068,2.5145,0.62695,21.251,120.82,77.928,9854,8.0623,14759,5738.6,8.0623,99759,21.819,0.53609,0.0066647,0.0066647,0.079374,0.0024283,0.012497
5.1667,36.749,199990,11.209,2.9101,0.71685,24.282,121.95,78.826,9845,8.0088,14767,5735.8,8.0088,99754,22.085,0.54855,0.0069005,0.0069005,0.078765,0.0025458,0.01361
5.3333,38.056,199980,12.419,3.3476,0.81477,27.581,123.19,79.719,9835.7,7.956,14774,5733.1,7.956,99748,22.343,0.56072,0.0071302,0.0071302,0.078161,0.0026631,0.01477
5.5,39.343,199980,13.699,3.8299,0.92098,31.158,124.54,80.618,9826.2,7.9037,14781,5730.6,7.9037,99742,22.596,0.57261,0.0073541,0.0073541,0.077561,0.0027804,0.015978
5.6667,40.61,199980,15.047,4.3587,1.0356,35.017,126.01,81.532,9816.5,7.8521,14787,5728.2,7.8521,99736,22.848,0.5842,0.0075727,0.0075727,0.076966,0.0028977,0.017231
5.8333,41.856,199980,16.463,4.9373,1.159,39.166,127.61,82.475,9806.5,7.8011,14792,5725.9,7.8011,99729,23.102,0.59552,0.0077866,0.0077866,0.076376,0.003015,0.01853
6,43.081,199980,17.946,5.5659,1.291,43.605,129.34,83.448,9796.4,7.7507,14797,5723.6,7.7507,99721,23.36,0.60656,0.0079959,0.0079959,0.07579,0.0031323,0.019875
6.1667,44.284,199970,19.495,6.2485,1.4319,48.343,131.21,84.467,9786.1,7.7008,14801,5721.5,7.7008,99713,23.626,0.61734,0.0082015,0.0082015,0.075209,0.0032498,0.021265
6.3333,45.465,199970,21.108,6.9856,1.5817,53.378,133.23,85.534,9775.6,7.6516,14804,5719.3,7.6516,99705,23.9,0.62784,0.0084038,0.0084038,0.074632,0.0033675,0.022699
6.5,46.624,199970,22.785,7.7796,1.7406,58.714,135.4,86.658,9764.8,7.6029,14807,5717.2,7.6029,99696,24.187,0.63808,0.0086034,0.0086034,0.07406,0.0034856,0.024178
6.6667,47.761,199970,24.521,8.6334,1.9084,64.35,137.73,87.85,9753.9,7.5547,14809,5715.1,7.5547,99687,24.488,0.64807,0.0088014,0.0088014,0.073491,0.0036041,0.025701
6.8333,48.876,199960,26.318,9.5471,2.0851,70.288,140.21,89.11,9742.8,7.5071,14811,5712.9,7.5071,99677,24.805,0.6578,0.0089978,0.0089978,0.072928,0.0037232,0.027268
7,49.968,199960,28.174,10.522,2.2709,76.525,142.85,90.443,9731.6,7.4601,14812,5710.8,7.4601,99666,25.139,0.66728,0.0091931,0.0091931,0.072368,0.003843,0.028879
7.1667,51.038,199960,30.084,11.562,2.4655,83.059,145.66,91.86,9720.1,7.4136,14812,5708.5,7.4136,99655,25.493,0.67651,0.0093889,0.0093889,0.071813,0.0039637,0.030533
7.3333,52.086,199950,32.048,12.666,2.6689,89.889,148.62,93.362,9708.5,7.3677,14812,5706.2,7.3677,99643,25.868,0.68551,0.0095851,0.0095851,0.071262,0.0040854,0.032232
7.5,53.111,199950,34.066,13.836,2.8811,97.015,151.76,94.95,9696.7,7.3223,14812,5703.7,7.3223,99631,26.263,0.69426,0.0097819,0.0097819,0.070716,0.0042081,0.033974
7.6667,54.115,199950,36.131,15.074,3.1017,104.42,155.05,96.637,9684.8,7.2774,14810,5701.2,7.2774,99618,26.684,0.70278,0.0099815,0.0099815,0.070173,0.0043324,0.035761
7.8333,55.096,199940,38.241,16.382,3.3305,112.11,158.52,98.422,9672.7,7.2331,14808,5698.4,7.2331,99605,27.129,0.71107,0.010184,0.010184,0.069635,0.0044583,0.037592
8,56.056,199940,40.398,17.759,3.5676,120.07,162.14,100.31,9660.4,7.1893,14806,5695.6,7.1893,99591,27.6,0.71914,0.01039,0.01039,0.069101,0.0045858,0.039468
8.1667,56.994,199940,42.601,19.205,3.8132,128.32,165.94,102.29,9648,7.146,14803,5692.5,7.146,99576,28.096,0.72697,0.010598,0.010598,0.068571,0.0047148,0.041389
8.3333,57.91,199930,44.843,20.723,4.0663,136.83,169.9,104.38,9635.4,7.1033,14799,5689.3,7.1033,99561,28.619,0.73459,0.010811,0.010811,0.068045,0.004846,0.043355
8.5,58.805,199930,47.12,22.314,4.3267,145.59,174.01,106.58,9622.6,7.0611,14795,5685.8,7.0611,99546,29.171,0.742,0.01103,0.01103,0.067523,0.0049796,0.045369
8.6667,59.679,199920,49.431,23.977,4.5941,154.58,178.28,108.89,9609.8,7.0194,14790,5682.1,7.0194,99529,29.75,0.7492,0.011255,0.011255,0.067005,0.0051158,0.047431
8.8333,60.532,199920,51.776,25.714,4.8688,163.83,182.71,111.3,9596.8,6.9783,14784,5678.2,6.9783,99513,30.358,0.75619,0.011486,0.011486,0.066491,0.0052544,0.04954
9,61.364,199920,54.158,27.523,5.1508,173.33,187.3,113.83,9583.6,6.9377,14778,5674,6.9377,99496,30.994,0.76296,0.011722,0.011722,0.065981,0.0053955,0.051696
9.1667,62.176,199910,56.568,29.406,5.4394,183.05,192.04,116.47,9570.3,6.8977,14771,5669.6,6.8977,99478,31.659,0.76953,0.011966,0.011966,0.065475,0.0055394,0.053901
9.3333,62.967,199910,59,31.363,5.7336,192.97,196.92,119.22,9556.9,6.8582,14763,5664.9,6.8582,99460,32.353,0.77591,0.012219,0.012219,0.064972,0.0056867,0.056159
9.5,63.739,199900,61.454,33.394,6.0335,203.1,201.95,122.09,9543.3,6.8193,14755,5659.9,6.8193,99441,33.075,0.7821,0.01248,0.01248,0.064474,0.0058375,0.058469
9.6667,64.491,199900,63.931,35.499,6.339,213.42,207.12,125.06,9529.7,6.7809,14746,5654.5,6.7809,99422,33.826,0.78809,0.012749,0.012749,0.063979,0.0059916,0.060833
9.8333,65.223,199890,66.429,37.678,6.6501,223.94,212.43,128.15,9515.8,6.7431,14737,5648.9,6.7431,99402,34.606,0.79389,0.013028,0.013028,0.063489,0.0061492,0.063248
10,65.935,199890,68.948,39.932,6.9668,234.66,217.88,131.35,9501.9,6.7058,14726,5642.9,6.7058,99382,35.415,0.7995,0.013315,0.013315,0.063002,0.0063102,0.065717
10.167,66.629,199880,71.478,42.258,7.2873,245.53,223.45,134.66,9487.9,6.6691,14715,5636.6,6.6691,99361,36.252,0.80494,0.013613,0.013613,0.062518,0.0064756,0.068245
10.333,67.304,199880,74.017,44.656,7.6117,256.54,229.14,138.09,9473.7,6.633,14704,5629.9,6.633,99340,37.115,0.81019,0.013921,0.013921,0.062039,0.0066452,0.070833
10.5,67.961,199870,76.567,47.128,7.94,267.7,234.95,141.62,9459.5,6.5975,14691,5622.8,6.5975,99319,38.005,0.81527,0.014241,0.014241,0.061563,0.0068191,0.073481
10.667,68.599,199870,79.127,49.672,8.2721,279.01,240.88,145.26,9445.1,6.5625,14678,5615.4,6.5625,99297,38.922,0.82018,0.014571,0.014571,0.061091,0.0069973,0.076188
10.833,69.219,199860,81.697,52.289,8.6082,290.46,246.94,149.01,9430.7,6.5282,14664,5607.6,6.5282,99275,39.867,0.8249,0.014912,0.014912,0.060622,0.0071797,0.078955
11,69.821,199850,84.268,54.976,8.9465,302.02,253.09,152.87,9416.1,6.4945,14650,5599.4,6.4945,99252,40.835,0.82947,0.015265,0.015265,0.060157,0.0073671,0.081789
11.167,70.406,199850,86.838,57.731,9.2868,313.66,259.33,156.82,9401.5,6.4613,14634,5590.8,6.4613,99229,41.828,0.83387,0.01563,0.01563,0.059696,0.0075595,0.084692
11.333,70.975,199840,89.408,60.556,9.6291,325.4,265.67,160.89,9386.7,6.4288,14618,5581.8,6.4288,99206,42.843,0.83811,0.016008,0.016008,0.059238,0.0077569,0.087663
11.5,71.526,199840,91.977,63.45,9.9734,337.24,272.11,165.05,9371.9,6.3969,14601,5572.4,6.3969,99183,43.883,0.84219,0.016398,0.016398,0.058783,0.0079593,0.090703
11.667,72.059,199830,94.546,66.413,10.32,349.17,278.64,169.32,9357,6.3657,14584,5562.6,6.3657,99159,44.946,0.8461,0.0168,0.0168,0.058332,0.0081668,0.093811
11.833,72.577,199820,97.108,69.442,10.667,361.16,285.24,173.68,9342,6.3351,14565,5552.4,6.3351,99135,46.03,0.84987,0.017215,0.017215,0.057885,0.0083797,0.096994
12,73.078,199820,99.66,72.535,11.015,373.18,291.92,178.14,9326.9,6.3051,14546,5541.8,6.3051,99111,47.133,0.85349,0.017644,0.017644,0.057441,0.0085982,0.10026
12.167,73.564,199810,102.2,75.691,11.362,385.25,298.66,182.7,9311.8,6.2758,14526,5530.7,6.2758,99086,48.255,0.85696,0.018085,0.018085,0.057,0.0088224,0.1036
12.333,74.034,199800,104.73,78.91,11.71,397.36,305.46,187.34,9296.6,6.2472,14506,5519.2,6.2472,99061,49.396,0.86028,0.018541,0.018541,0.056563,0.0090522,0.10701
12.5,74.488,199800,107.26,82.194,12.058,409.51,312.34,192.09,9281.3,6.2192,14484,5507.3,6.2192,99037,50.557,0.86345,0.019009,0.019009,0.056129,0.0092876,0.11051
12.667,74.927,199790,109.77,85.54,12.406,421.69,319.28,196.92,9266,6.1919,14462,5495,6.1919,99011,51.735,0.86648,0.019491,0.019491,0.055699,0.0095288,0.11409
12.833,75.351,199790,112.26,88.942,12.751,433.85,326.25,201.84,9250.6,6.1653,14439,5482.2,6.1653,98986,52.926,0.86938,0.019987,0.019987,0.055271,0.0097763,0.11776
13,75.761,199780,114.73,92.398,13.095,445.99,333.26,206.83,9235.1,6.1394,14415,5469,6.1394,98961,54.131,0.87215,0.020497,0.020497,0.054847,0.01003,0.12152
13.167,76.157,199770,117.18,95.91,13.438,458.12,340.31,211.91,9219.6,6.1143,14390,5455.3,6.1143,98935,55.348,0.87478,0.021021,0.021021,0.054426,0.01029,0.12538
